rank,name,url,overallRating,easeOfUse,design,features,outputs,privacy,accountFriction,resultQuality,Progressive group reveal,Interactive assignment process,Manual post-generation editing,bestFor,pricing,tags
20,Not Random Groups,https://notrandomgroups.com/,4.0,4.0,4.0,3.8,2.0,3.0,4.5,3.3,no,no,no,Teacher group generator with random and keep-together/keep-apart modes plus optional Google Classroom import,Free web tool. Google sign-in optional for Classroom roster import.,constraints
21,Optimal Group Generator,https://optimal-group-generator.com/,4.0,3.5,3.4,4.0,1.8,3.8,4.4,3.8,no,no,no,Open-source repeat-avoidance group maker with previous records and no-login local storage,Free open-source web app. Optional sign-in.,multi-round
22,PairForm,https://pair-form.com/,4.0,3.2,4.1,4.3,2.7,3.0,3.0,4.1,no,yes,no,Role-balanced event/workshop group formation with participant self-join links,Commercial/self-serve web app. Participants do not need accounts; organizer login/pricing details not fully verified.,"constraints,self-join"
23,PickTeams.net,https://pickteams.net/,4.0,4.2,3.7,3.8,3.6,3.0,5.0,3.3,no,no,no,"Featureful team picker with skill/gender tags, locked players, CSV export, and share links",Free web tool. No account required.,"constraints,strong-exports"
24,QuizQuestions.org Team Generator,https://www.quizquestions.org/team-generator,4.0,4.1,4.0,3.8,3.6,3.2,4.5,3.5,no,no,yes,"Advanced no-account team generator with labels, locks, drag-and-drop, added teams, and exports",Free web tool with optional site account links.,"constraints,strong-exports"
25,RandomTeamGenerator.io,https://randomteamgenerator.io/,4.0,4.2,3.8,3.9,3.8,2.6,5.0,3.2,no,no,no,"Featureful random team generator with leaders, keep-together groups, share, TXT/CSV export, and locale support",Free ad-supported web tool. No signup required.,"constraints,strong-exports"
26,Shuffly,https://shuffly.netlify.app/,4.0,4.2,4.4,4.0,4.4,3.4,4.5,4.0,no,no,no,Skill- and gender-balanced random teams with strong free exports,"Free plan supports up to 20 participants, 2 groups, manual entry, skill balancing, copy, PNG, Excel/CSV export, reshuffle, and 1 saved setup. Base is €3.99/month with 100 participants, 10 groups, file import, PDF export, and 5 saved setups. Premium is €7.99/month with 999 participants, 50 groups, unlimited saved setups, custom integrations, and advanced algorithms.","constraints,strong-exports"
27,Team Shake,https://www.rhine-o.com/www/iphone-apps/team-shake/,4.0,3.7,2.8,4.0,4.3,4.6,3.2,3.8,no,no,no,Mobile-first balanced team generation for teachers and coaches,"Paid app-store purchase; developer lists it at $0.99 USD, with actual pricing varying by platform/region. No separate Team Shake account or subscription is needed after purchase.","constraints,strong-exports"
28,TeamMaker App,https://teammakerapp.vercel.app/,4.0,4.2,4.1,4.0,4.4,3.7,5.0,3.2,no,no,yes,"Local, no-account team making with strong classroom presentation and exports","Free, with a Ko-fi tip link. No account is required.","constraints,strong-exports"
29,Random Wheel Tools Multi-Round Group Generator,https://randomwheeltools.com/en/multi-round-group-generator,4.0,4.2,4.0,4.0,3.8,4.7,5.0,4.0,no,no,no,Private multi-round groups with visible repeat diagnostics,Free public tool; no account or payment required.,"multi-round,privacy-friendly"
30,Instructron Group Generator,https://instructron.com/tools/group-generator,3.9,4.1,4.2,3.8,4.0,4.0,4.0,3.6,no,no,yes,Teachers who want quick random groups with basic balancing and keep-apart rules,Free no-account group generator for quick manual use. Account creation is pushed for classroom import and saved/reusable plans; paid plans appear to unlock deeper student filters/profile signals and broader Instructron classroom features.,"constraints,privacy-friendly,strong-exports"
31,JAY Project Team Picker,https://jay-project.kr/ko/apps/team,3.9,4.0,3.8,4.0,3.5,3.4,5.0,3.8,no,no,no,"Korean browser-local team picker with balance mode, fixed people, saved rosters, and share URLs",Free browser tool. No login/install required.,
32,Peerceptiv Group Formation,https://peerceptiv.zendesk.com/hc/en-us/articles/34657548219795-Group-Formation,3.9,2.4,3.2,4.2,3.5,2.5,1.4,4.0,no,no,yes,"LMS-integrated optimized groups from survey, schedule, and topic preferences",Commercial/institutional Peerceptiv/LMS workflow; account and course roster required.,constraints
33,ReadyGroupGo,https://www.readygroupgo.com/,3.9,3.8,3.9,4.0,3.2,3.1,3.4,3.8,no,no,no,"Classroom group generator with smart attributes, saved classes, share links, and class-code joining",Free web generator with sign-up/login for saved/advanced classroom workflows.,"constraints,self-join"
34,BuddyMatcher,https://www.buddymatcher.co.uk/,3.8,4.0,3.8,3.7,4.0,4.6,1.5,3.3,no,no,no,"Teachers who need pairs/trios, local saved lists, and optional paid control features","Free basic tool. Buddy Matcher Pro is advertised as a £3.99 one-off upgrade for larger/custom groups, keep-apart pairs, leaders, saved lists, export, and print layouts.","constraints,privacy-friendly,strong-exports"
35,Calcbe Team Generator,https://calcbe.com/en/tools/team-generator/,3.8,4.2,4.0,3.7,4.6,4.1,5.0,3.0,no,no,no,Privacy-conscious one-session random teams with simple constraints and strong exports,Free web tool. No account required.,"constraints,privacy-friendly,strong-exports"
36,Cogitans Générateur d’équipes,https://cogitans.fr/fr/outils/aleatoire/repartir-en-equipes/,3.8,3.9,3.5,3.7,3.1,4.2,5.0,3.7,no,no,no,French local random or level-balanced team generator,Free browser tool. No account required.,privacy-friendly
37,MontaTime,https://montatime.com/,3.8,3.8,3.8,4.0,3.8,4.0,5.0,3.8,no,no,yes,"Brazilian football team balancer with star levels, goalkeeper distribution, WhatsApp import, saved lists, and sharing",Free web tool and Android app. No signup advertised.,"constraints,privacy-friendly"
38,PickSpin Team Generator,https://pickspin.app/team-generator,3.8,4.2,4.0,3.5,3.8,3.6,5.0,2.9,no,no,no,"Polished team generator with templates, count/size modes, naming styles, text/CSV export, print, share, and local history",Free web tool. No account required.,strong-exports
39,PlayRez Tennis Round Robin Generator,https://playrez.com/tools/tennis-round-robin-generator,3.8,4.0,4.1,3.8,4.0,2.8,4.4,3.8,no,no,no,No-signup tennis/social round-robin generator with PDF/share outputs,Free no-signup web generator; broader PlayRez platform available.,"multi-round,strong-exports"
40,Random Group Picker,https://randomgrouppicker.com/,3.8,4.0,3.6,3.9,4.0,3.6,5.0,3.7,no,no,no,"Feature-rich random group picker with CSV import, label/gender balance, representatives, and exports",Free web tool. No account required.,"constraints,strong-exports"
41,Random Roster,https://randomroster.com/,3.8,3.7,4.0,4.0,3.4,3.3,3.5,4.0,no,no,yes,"Teacher group generator with capability balance, preferences, history, and seating charts","Free forever tier with no-signup quick grouping. Pro Lifetime is listed as a one-time $19 upgrade for unlimited rosters, constraints, CSV import/export, presentation mode, seating charts, and share links.",constraints
42,Randomify Team Generator,https://www.randomify.org/team-generator?entries=Alex%252CSam%252CJordan%252CCasey%252CRiley%252CMorgan&teams=2&size=3,3.8,4.3,4.0,3.0,3.8,3.2,5.0,2.5,no,no,no,"Well-rounded team generator with shareable parameters, captain mode, themed team names, copy, and CSV download",Free web tool. No account required.,strong-exports
43,RandomPicker Random Team Generator,https://random-picker.app/random-team-generator,3.8,3.9,3.9,4.0,3.0,3.3,5.0,3.7,no,no,no,"Advanced browser-side teams with CSV/TXT import, locks, exclusions, skills, copy, and TXT download",Free web tool; no account required in tested flow.,constraints
44,Sabura Student Group Maker,https://sabura.app/en/groups,3.8,4.0,3.8,3.2,2.2,4.0,4.2,3.0,no,no,no,"Classroom group maker with optional leaders, saved lists for signed-in users, reshuffle, and share",Free web tool; account optional for saved lists.,privacy-friendly
45,Smart Group Maker,https://smartgroupmaker.com/,3.8,3.6,4.0,4.2,3.2,3.2,5.0,3.4,no,no,no,"Free visual group maker with balancing, fixed placements, and member relationship rules",Free web app. No signup or install required according to the page.,"constraints,strong-exports"
46,Spinzoro Team Picker for Classrooms,https://spinzoro.com/en/team-picker-for-classrooms/,3.8,4.0,3.8,3.5,4.0,2.8,5.0,3.2,no,no,no,"Classroom team picker with count/size modes, strong-player marking, copy/share, Excel, and PDF export",Free web tool. No account required.,"constraints,strong-exports"
47,Teach Arcade Group Maker,https://www.teacharcade.com/tools/group-maker.html,3.8,4.1,3.8,3.5,3.0,3.1,5.0,3.3,no,no,no,"Teacher group maker with repeat-avoidance history, print/share, and pairing records",Free ad-supported web tool. No account required.,
48,Team Balancer Pro,https://autoteambalancer.pages.dev/,3.8,3.7,3.8,4.1,4.0,2.7,5.0,3.9,no,no,no,"Korean MMR/role-based team balancer for LoL, Valorant, and Overwatch internal matches",Free browser tool. No account required.,"constraints,strong-exports"
49,Team Randomizer Classroom Generator,https://team-randomizer.com/random-team-generator-for-classroom,3.8,3.8,3.6,3.4,3.5,2.4,5.0,2.8,no,no,no,"Classroom team randomizer with participant/team uploads, seed, CSV, screenshot, and sharing",Free ad-supported web tool. No account required.,strong-exports
50,TeamMixer,https://www.team-mixer.com/,3.8,3.6,4.0,3.8,2.2,3.2,5.0,3.5,no,no,no,"Korean AI-assisted team builder with tiers, positions, presets, and no-server-data claim",Free web tool. No account required.,"constraints,ai-assisted"
51,WebToolNexus Random Team Generator,https://webtoolnexus.com/tools/random-team-generator/,3.8,3.6,3.6,3.5,3.2,4.5,5.0,3.5,no,no,no,Skill-aware random teams with balance report and text export,Free web tool. The site presents itself as no-account and no-tracking.,"constraints,privacy-friendly"
52,BracketMaker.app Round Robin,https://bracketmaker.app/round-robin/,3.7,3.8,3.7,3.9,4.1,2.3,3.8,3.7,no,no,no,"Web round-robin tournament maker for singles, doubles, mixed doubles, and teams",Free web generator with Pro limits/features.,"multi-round,strong-exports"
53,CedarWater Visibly Random,https://cedarwater.net/visiblyrandom/,3.7,4.0,4.0,3.2,2.8,4.4,5.0,2.8,no,no,no,"Teacher-oriented visibly random group maker with smart roster parsing, subjects, fullscreen, and roster save/download",Free web tool. No account required.,privacy-friendly
54,Classroomscreen Group Maker,https://classroomscreen.com/app/template/widget-tutorials-tutorial-group-maker-v1,3.7,3.4,4.4,3.8,2.6,4.2,2.8,3.2,no,no,yes,"Teachers already using Classroomscreen who want visual classroom groups, saved name lists, exclusions, and manual adjustment","Basic is free and includes all widgets plus saving up to three name lists. Pro is about $36/year and adds saving/sharing screens, folders, unlimited name lists, custom backgrounds, widget themes, and other classroom-screen features.","constraints,privacy-friendly"
55,digtools Team Generator,https://tools.digrart.jp/en/team-gen,3.7,3.7,3.8,4.0,4.2,1.5,5.0,3.5,no,no,no,"Browser-side teams with skills, NG pairs, leaders, save/load, CSV, text, and image output",Free. No account is required.,"constraints,strong-exports"
56,FutScore Sorteio de Times,https://futscore.online/sorteio-de-times,3.7,4.0,3.7,3.8,3.0,4.0,5.0,3.8,no,no,no,"Portuguese football team sorter with skill stars, goalkeeper distribution, and quick mode",Free web tool. No signup required.,"constraints,privacy-friendly"
57,Game on Field Team Picker,https://www.gameonfield.in/game-setup/team-picker,3.7,3.6,3.6,3.8,3.9,2.8,5.0,3.7,no,no,no,"Sports team picker with crypto shuffle, skill snake draft, stratified pots, seed audit, CSV, and sharing",Free browser tool. No account required.,"constraints,strong-exports"
58,Klasindeling.be Groepjesmaker,https://klasindeling.be/groepjesmaker,3.7,3.8,3.6,3.6,3.7,3.1,5.0,3.5,no,no,yes,"Dutch/Flemish teacher grouping with saved classes, student attributes, PDF, and print",Free web tool. No account required.,constraints
59,MiniBreaks Squad Shuffle,https://minibreaks.io/apps/squad-shuffle,3.7,4.1,4.0,3.1,3.4,3.2,5.0,2.8,no,no,no,"Polished group shuffler with min/max/#groups modes, copy, print, share, editable links, and app chaining",Free web app. No account required.,
60,Peon Inc Random Team Generator,https://www.peon-inc.net/community-tools/RandomTeamGenerator.html,3.7,2.8,2.1,4.0,4.0,4.4,5.0,3.8,no,no,no,"Local sports/team draft generator with pins, buddies, conflicts, and CSV roster import/export",Free web tool. No account required.,"constraints,privacy-friendly,strong-exports"
61,Pickleheads Round Robin,https://www.pickleheads.com/round-robin,3.7,2.6,4.0,4.0,3.2,2.7,2.2,3.9,no,no,no,Pickleball round robin and rotating-partner event tool,Mobile app/platform workflow; public page says the tool is available in the Pickleheads app.,"multi-round,self-join"
62,Randomizer.uk Create Groups,https://randomizer.uk/multicriteria-team,3.7,2.9,3.4,3.8,4.2,3.2,4.2,3.4,no,no,no,Multi-criteria random groups with proof/share/export options,"Free basic group/team generation with no registration required. Paid/dedicated publication options appear for sharing, layout customization, proof/certification, and GDPR/publication settings.","constraints,strong-exports"
63,RandomSelect Group Maker,https://randomselect.net/en/group-maker/,3.7,4.1,4.0,3.0,3.4,2.8,4.5,2.6,no,no,no,"Featureful group maker with count/size modes, AI fill, list save/load, share, and export",Free web tool with login link; no account required for reviewed flow.,"constraints,ai-assisted"
64,Randraw Asia Constitute Team,https://cn.randraw.asia/constitute-team,3.7,3.5,3.6,3.8,4.0,3.1,4.0,3.6,no,no,no,Pool-based random team generator with share/export/proof workflows,Free web generator with optional account features.,"constraints,strong-exports"
65,Randraw Multicriteria Team,https://randraw.com/multicriteria-team,3.7,3.3,2.7,4.0,4.1,4.0,4.2,3.3,no,no,no,"No-account multicriteria grouping with pots, separation rules, and exports",Free for ephemeral no-account draws; account/signup is promoted for saved sharing/history.,"constraints,privacy-friendly,strong-exports"
66,Shuffly.eu,https://shuffly.eu/,3.7,3.7,4.0,4.0,3.4,2.6,4.0,3.5,no,no,no,"Productized balanced team generator with skill/gender balance, imports, exports, saved setups, and subscriptions",Free tier plus Base/Premium subscriptions; account optional for quick use.,constraints
67,Spin With The Wheel Group Maker,https://spinwiththewheel.com/group-maker,3.7,4.0,3.6,3.1,3.3,3.7,5.0,2.7,no,no,no,"Advanced browser group maker with single/bulk entry, multiple assignment methods, copy, print, and text export",Free web tool. No account required.,
68,SpinItWheel Team Generator,https://www.spinitwheel.com/team-generator.html,3.7,3.6,4.0,3.2,3.6,2.2,5.0,2.6,no,no,no,"Visual wheel-based team generator with custom names/colors, share, copy, and Excel export",Free ad-supported web tool. No account required.,
69,SpinVibe Teachers,https://spinvibe.io/teachers/,3.7,4.0,3.8,3.6,2.7,4.0,5.0,3.0,no,no,no,"Teacher-focused classroom spinner, random group maker, speaker order, no-repeat picking, and projector mode",Free web tool. No sign-up required.,privacy-friendly
70,sptoolbox Random Group Generator,https://sptoolbox.com/tools/random-groups,3.7,4.2,3.3,3.6,2.8,4.5,5.0,3.5,no,no,no,Teacher random groups with local saved class lists and keep-together/apart fields,Free browser tool. No account required.,"constraints,privacy-friendly"
71,TeamSplit,https://teamsplit.net/,3.7,3.6,4.0,3.3,3.6,4.1,5.0,3.1,no,no,no,"Polished no-account team splitting with import/export, reps, and team names",Free web tool. No account required.,privacy-friendly
72,Tirage-au-Sort.net Constituer une équipe,https://www.tirage-au-sort.net/constituer-equipe,3.7,3.5,3.6,3.8,4.0,3.1,4.0,3.6,no,no,no,French pool-based random team creator with share/export/proof workflows,Free web generator with optional account features.,"constraints,strong-exports"
73,VMaths Générateur Groupes Aléatoires Élèves,https://www.vmaths.fr/apps/generateur-groupes-aleatoires-eleves.html,3.7,3.8,3.6,3.4,3.3,3.8,5.0,3.1,no,no,no,"French student group generator with manual/CSV import, group count/size modes, keep-together constraints, and CSV export",Free web tool. No account required.,"constraints,strong-exports"
74,Zapadisk Team Generator,https://zapadisk.be/team-generator.html,3.7,2.5,2.1,3.8,2.0,3.8,5.0,4.0,no,no,no,"Balancing sport/player teams by level, gender, and multi-day attendance",Free open-source web tool. No account is required.,constraints
75,Zufallsgenerator Gruppen bilden,https://zufallsgenerator.de/gruppen-bilden,3.7,2.9,3.4,3.8,4.2,3.2,4.2,3.4,no,no,no,"German-speaking users who need random groups with pots, separation rules, fixed placements, and exports","Free basic tool. Account/promoted paid options appear for sharing, layout customization, proof/certification, and full GDPR/publication settings.","constraints,strong-exports"
76,TeamShuffler,https://teamshuffler.com/team-generator,3.7,4.5,4.4,3.2,3.0,3.8,4.8,3.5,no,no,no,Quick free team splits with a paid round-robin extension,"Free basic generation. Pro is advertised at $29.88/year ($2.49/month equivalent), with multiple groups, smart separation, colors, exports, and round robins.",constraints
77,Batch Group Generator,https://batch.basith.me/,3.6,4.0,4.0,3.1,3.1,4.2,5.0,2.7,yes,no,yes,"Minimal aesthetic group generator with team size, prefix, extras options, suspense mode, drag/drop, and download",Free web tool. No account required.,privacy-friendly
78,Draftastic,https://www.draftastic.co/,3.6,2.5,4.0,4.0,3.7,2.8,1.8,3.7,no,yes,no,"Account-based team drafting platform with auto-pick, labels, invites, and CSV export","Free draft creation advertised, but sign-in is required for draft creation.","constraints,self-join,strong-exports"
79,FerramentasJá Sorteador de Times,https://www.ferramentasja.com.br/app/sorteador-de-times,3.6,3.8,3.6,3.7,3.6,3.5,5.0,3.6,no,no,no,"Portuguese team sorter with score balancing, custom team names, copy, and report download",Free web tool. No account required for the sorter.,
80,FreeRandomTools Random Team Generator,https://freerandomtools.org/random-team-generator/,3.6,3.2,3.7,4.0,3.7,1.8,5.0,3.3,no,no,no,"Sports-style teams with skill-balanced and captain modes, copy formats, history, and local state",Free. No account is required.,constraints
81,FussFreeTools Random Group Generator,https://www.fussfreetools.com/random-group-generator.html,3.6,4.0,3.5,3.1,2.8,3.0,5.0,2.8,no,no,no,"Classroom-oriented group generator with pairs/size/count modes, copy, fullscreen, absent exclusion, and repeat-pair lock option",Free ad-supported web tool. No account required.,
82,Genvalo Random Group Generator,https://www.genvalo.com/tools/random-group,3.6,4.2,4.0,2.5,2.8,3.2,5.0,2.4,no,no,no,Clean random group generator with count/size modes and per-group copy buttons,Free web tool. No account required.,
83,GroupEng,https://groupeng.org/,3.6,1.7,1.4,4.1,3.3,4.6,4.0,4.0,no,no,no,"Open-source command-line grouping with distribute, aggregate, cluster, and balance rules",Free and open source under AGPLv3.,constraints
84,InstaGroups,https://instagroups.app/,3.6,3.0,3.8,4.2,3.0,2.8,3.0,4.0,no,no,no,"PE/coaching team generator with balancing, tournaments, analytics, and collaboration",Free to use with no credit card required. Web and iOS app are available; account/login flows exist for the product.,constraints
85,Lazy Cat Tools Random Team Generator,https://lazycattools.com/tools/random-team-generator/,3.6,4.1,3.6,2.7,3.4,2.5,5.0,2.6,no,no,no,"Random team generator with upload, random names, reshuffle, share, copy, and print",Free ad-supported web tool. No account required.,
86,LeagueLobster Round Robin Generator,https://scheduler.leaguelobster.com/round-robin-generator/,3.6,3.3,3.2,3.7,3.8,2.2,3.4,3.7,no,no,no,"Sports league round-robin scheduler with teams, games, weeks, scores, standings, and CSV export",Free up to 25 teams; Pro for larger/advanced schedules.,"multi-round,strong-exports"
87,LiveReacting Random Team Generator,https://www.livereacting.com/tools/random-team-generator,3.6,3.7,3.5,3.4,4.1,2.6,5.0,3.4,no,no,no,"No-signup random teams with leaders, skill levels, custom names, and CSV/TXT export",Free online tool. No signup is required for the random team generator; the broader LiveReacting product has sign-in/sign-up flows.,"constraints,strong-exports"
88,Picker Wheel Team Picker,https://pickerwheel.com/tools/random-team-generator/,3.6,3.8,3.7,3.6,4.4,1.6,3.8,3.4,no,yes,no,Visual live random grouping and self-join team picking,"Free basic team picker with ads. Account/subscriber storage is relevant for persistent cloud files and larger quotas, but the basic team-picking workflow is free.","constraints,self-join,strong-exports"
89,Prompt2Tool Team Grouping Tool,https://prompt2tool.com/tools/productivity/team-grouping-tool,3.6,4.0,3.4,3.5,3.8,4.0,4.7,2.8,no,no,no,Random teams with leader distribution and Excel export,Free public tool. No account is required for the tested workflow; the broader site has login/sign-up navigation.,"constraints,privacy-friendly"
90,Rise Random Team Generator,https://rise.global/tools/random-team-generator/,3.6,4.1,3.8,2.3,3.4,3.8,5.0,2.5,no,no,no,"Polished random team generator with count/size modes, copy, image export, and share links",Free web tool. No account required.,
91,Réparticlasse,https://shenriot.forge.apps.education.fr/reparticlasse,3.6,3.2,3.3,3.8,1.6,4.0,5.0,3.2,no,no,no,"French education group distributor with gender mix, level balancing, avatars, save/restore, and Scoregroupe mode",Free web app. No account required.,"constraints,privacy-friendly"
92,SnappyWords Random Group Generator,https://www.snappywords.com/random-generators/random-group-generator,3.6,4.0,3.4,2.7,3.4,2.3,5.0,2.5,no,no,no,"Group generator with count/size modes, leader options, image download, and CSV",Free ad-supported web tool. No account required.,strong-exports
93,Sorteador de Times,https://sorteadordetimes.com.br/sorteador-times,3.6,3.5,3.5,3.7,3.4,2.5,5.0,3.6,no,no,no,"Brazilian sports/esports team generator with skill stars, roles, saved lists, and import/export",Free browser tool. No account required.,constraints
94,TEAM MAKER,https://team-maker.net/,3.6,2.9,2.4,3.9,2.5,3.2,4.3,3.8,no,no,no,Rating-based balanced team generator for games and small communities,Free web tool. No account required for sample/open-space style use.,
95,Toolgami Random Team Generator,https://toolgami.bildirchin.com/tool/random-team-generator,3.6,3.6,3.4,3.2,4.0,2.7,5.0,3.3,no,no,no,Random or skill-based teams with CSV/JSON export,Free web tool with site account/trial navigation elsewhere. No account is required for the team-generator workflow.,"constraints,strong-exports"
96,ToolV Team Generator,https://toolv.com/en/app/team-generator,3.6,3.7,3.7,3.5,2.4,4.0,4.8,2.8,no,no,no,"Multi-mode browser-local team, pair, role, and seating generator",Free web tool with optional ToolV account/navigation. No account required for basic use.,privacy-friendly
97,Akousa Random Team Generator,https://akousa.net/zh/tools/random-team-generator,3.5,3.9,3.7,3.4,3.7,3.9,5.0,3.3,no,no,no,"Browser-local random team generator with skill-balance toggle, captains, CSV/TXT export, and history",Free browser tool. No account required for generation.,strong-exports
98,AttentionFlow Random Group Generator,https://www.attentionflow.net/en/tools/random/random-group-generator,3.5,3.5,3.7,3.0,3.0,4.0,5.0,2.5,yes,no,no,Local-browser group generator with CSV/Excel import/export claims and fair mode,Free web tool. No account required.,privacy-friendly
99,BasicFreeTools Random Student Group Generator,https://basicfreetools.com/random-student-group-generator/,3.5,4.1,3.5,2.8,3.0,4.3,5.0,2.7,no,no,no,"Privacy-friendly student group generator with absent exclusions, reshuffle history, copy, and print",Free web tool. No account required.,privacy-friendly
100,BestRandom Random Team Generator,https://bestrandom.net/random-team-generator,3.5,4.0,3.7,2.8,2.8,3.0,5.0,2.6,no,no,no,Seeded random team generator with copy/share/reroll controls,Free web tool. No account required.,
